dataset_name,num_salesmen,pop_size,num_gens,pcross,pm,time_measurement,best_fitness,best_f,best_total_cost,best_amplitude,best_x,f_evolution
berlin52,7,25000,32,0.8,0,8.139,0.00041,2440.921957,14976.56346,665.555292,[[0; 48; 39; 23; 45; 43; 15; 49; 19; 22; 29; 28; 0][0; 33; 36; 4; 3; 11; 26; 25; 46; 0][0; 51; 0][0; 31; 44; 18; 40; 7; 8; 9; 32; 0][0; 38; 37; 14; 42; 50; 10; 0][0; 34; 35; 47; 5; 24; 27; 12; 13; 0][0; 21; 30; 17; 2; 16; 1; 6; 41; 20; 0]],[2626.293851; 2556.970730; 2538.926270; 2538.926270; 2518.442518; 2518.442518; 2518.442518; 2518.442518; 2474.118474; 2474.118474; 2447.344970; 2447.344970; 2447.344970; 2447.344970; 2447.344970; 2447.344970; 2447.344970; 2447.344970; 2447.011372; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2440.921957]
berlin52,7,25000,46,0.8,0,12.717,0.00041,2440.921957,15385.64465,933.052955,[[0; 48; 38; 37; 14; 3; 11; 10; 25; 0][0; 31; 44; 9; 8; 7; 40; 18; 2; 0][0; 34; 33; 36; 47; 5; 50; 32; 42; 0][0; 35; 39; 23; 4; 24; 27; 26; 12; 13; 0][0; 51; 0][0; 21; 30; 17; 16; 6; 1; 41; 20; 22; 0][0; 49; 19; 29; 28; 46; 15; 45; 43; 0]],[2705.882842; 2491.759553; 2491.759553; 2491.759553; 2491.759553; 2491.759553; 2491.759553; 2491.759553; 2464.294263; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2450.390984; 2444.768601; 2444.768601; 2444.768601; 2444.768601; 2444.768601; 2444.768601; 2444.768601; 2441.443376; 2441.443376; 2441.443376; 2441.443376; 2441.443376; 2441.443376; 2441.443376; 2441.443376; 2441.443376; 2440.921957]
berlin52,7,25000,45,0.8,0,13.58,0.00041,2440.921957,15986.05065,598.419403,[[0; 31; 44; 18; 40; 7; 9; 8; 42; 32; 0][0; 38; 4; 14; 24; 25; 13; 0][0; 21; 30; 17; 2; 16; 20; 41; 6; 0][0; 48; 39; 37; 23; 5; 45; 50; 10; 0][0; 35; 43; 15; 49; 19; 22; 29; 1; 28; 0][0; 34; 33; 36; 47; 3; 11; 27; 26; 12; 46; 0][0; 51; 0]],[2703.146948; 2509.364578; 2474.432857; 2474.118474; 2474.118474; 2474.118474; 2463.368641; 2463.368641; 2463.368641; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2444.535532; 2440.921957]
berlin52,7,25000,46,0.8,0,13.866,0.00041,2440.921957,16132.94517,369.288824,[[0; 34; 33; 36; 47; 25; 15; 49; 43; 0][0; 21; 17; 2; 16; 6; 1; 41; 20; 45; 0][0; 48; 38; 37; 14; 5; 3; 50; 10; 11; 0][0; 35; 39; 23; 4; 24; 27; 26; 12; 13; 0][0; 31; 44; 18; 40; 7; 8; 9; 32; 42; 0][0; 30; 22; 19; 29; 28; 46; 0][0; 51; 0]],[2728.011109; 2553.211744; 2553.211744; 2501.420529; 2501.140328; 2501.140328; 2501.140328; 2501.140328; 2463.368641; 2463.368641; 2463.368641; 2451.202125; 2451.202125; 2451.202125; 2451.202125; 2451.202125; 2451.202125; 2451.202125; 2451.202125; 2451.202125; 2451.202125; 2451.202125; 2451.202125; 2451.202125; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2448.189920; 2440.921957]
berlin52,7,25000,18,0.8,0,5.366,0.00041,2440.921957,15615.4989,356.069318,[[0; 21; 17; 2; 16; 41; 6; 1; 28; 0][0; 30; 20; 29; 22; 19; 49; 15; 11; 0][0; 51; 0][0; 31; 44; 18; 40; 7; 8; 9; 42; 32; 0][0; 34; 35; 39; 5; 24; 27; 26; 12; 13; 0][0; 33; 36; 47; 23; 45; 43; 25; 46; 0][0; 48; 38; 37; 4; 14; 3; 50; 10; 0]],[2683.207152; 2541.984480; 2536.518354; 2518.309012; 2518.309012; 2486.527432; 2486.527432; 2486.527432; 2486.527432; 2486.527432; 2486.527432; 2486.527432; 2486.527432; 2449.205288; 2449.205288; 2449.205288; 2449.205288; 2440.921957]
berlin52,7,25000,40,0.8,0,12.147,0.00041,2440.921957,14871.96334,919.522732,[[0; 35; 38; 37; 23; 4; 3; 50; 10; 27; 0][0; 21; 17; 2; 40; 7; 8; 9; 32; 42; 0][0; 33; 36; 47; 5; 11; 26; 25; 46; 0][0; 31; 44; 18; 16; 6; 1; 41; 20; 0][0; 48; 34; 39; 14; 24; 13; 0][0; 51; 12; 0][0; 30; 22; 29; 28; 19; 49; 15; 45; 43; 0]],[2667.010309; 2474.569251; 2474.569251; 2474.569251; 2474.569251; 2474.569251; 2474.569251; 2474.569251; 2474.569251; 2474.569251; 2474.569251; 2474.569251; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2440.921957]
berlin52,7,25000,80,0.8,0,24.241,0.00041,2440.921957,15712.9245,484.76965,[[0; 21; 30; 17; 16; 20; 29; 1; 6; 41; 0][0; 31; 44; 18; 40; 7; 8; 9; 42; 32; 0][0; 48; 36; 33; 37; 47; 24; 27; 26; 2; 0][0; 51; 0][0; 34; 35; 38; 39; 23; 4; 14; 5; 3; 11; 50; 10; 0][0; 22; 19; 49; 15; 28; 46; 0][0; 43; 45; 25; 12; 13; 0]],[2711.769717; 2543.032133; 2543.032133; 2508.111460; 2503.372332; 2498.654730; 2498.654730; 2498.654730; 2498.654730; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2474.310563; 2465.098254; 2465.098254; 2465.098254; 2465.098254; 2465.098254; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2441.392615; 2440.921957]
berlin52,7,25000,48,0.8,0,15.009,0.00041,2440.921957,14962.43321,1013.370618,[[0; 21; 2; 16; 17; 30; 20; 41; 6; 1; 0][0; 31; 44; 18; 40; 7; 9; 8; 42; 32; 0][0; 48; 35; 38; 39; 23; 14; 4; 37; 24; 27; 46; 0][0; 43; 45; 15; 28; 29; 49; 19; 22; 0][0; 34; 33; 36; 47; 5; 3; 11; 50; 10; 0][0; 25; 26; 12; 13; 0][0; 51; 0]],[2698.707703; 2550.831228; 2510.094410; 2510.094410; 2506.359311; 2504.925527; 2497.609063; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2463.368641; 2461.786611; 2461.786611; 2461.786611; 2461.786611; 2461.786611; 2461.786611; 2461.786611; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2442.772824; 2440.921957]
berlin52,7,25000,26,0.8,0,7.953,0.00041,2440.921957,14874.48653,1158.384149,[[0; 38; 39; 37; 23; 24; 27; 26; 12; 13; 0][0; 20; 41; 1; 6; 16; 2; 17; 30; 22; 0][0; 21; 44; 18; 40; 7; 8; 9; 32; 0][0; 31; 45; 25; 46; 42; 0][0; 43; 15; 49; 19; 28; 29; 0][0; 51; 0][0; 48; 35; 34; 33; 36; 47; 4; 14; 5; 3; 11; 50; 10; 0]],[2740.887466; 2582.946594; 2554.519233; 2504.859242; 2496.565158; 2468.708055; 2468.708055; 2468.708055; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2463.784399; 2456.730910; 2456.730910; 2440.921957]
berlin52,7,25000,61,0.8,0,18.485,0.00041,2440.921957,14633.56125,796.413708,[[0; 48; 38; 37; 4; 25; 46; 45; 0][0; 33; 47; 24; 11; 10; 50; 5; 23; 36; 0][0; 31; 44; 18; 40; 7; 8; 9; 32; 42; 0][0; 34; 43; 15; 28; 49; 19; 29; 20; 30; 0][0; 35; 39; 14; 3; 27; 26; 12; 13; 0][0; 21; 17; 2; 16; 6; 1; 41; 22; 0][0; 51; 0]],[2692.535098; 2507.751054; 2507.751054; 2507.751054; 2486.681632; 2486.681632; 2486.681632; 2461.011438; 2461.011438; 2461.011438; 2461.011438; 2461.011438; 2461.011438; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2456.479101; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2441.393194; 2440.921957]
berlin52,7,25000,35,0.8,0,10.584,0.00041,2440.921957,15783.22069,381.553641,[[0; 34; 33; 36; 4; 3; 11; 10; 50; 0][0; 43; 15; 49; 19; 22; 29; 28; 41; 0][0; 31; 44; 18; 7; 40; 8; 9; 42; 32; 0][0; 35; 14; 5; 24; 27; 26; 13; 0][0; 48; 38; 39; 37; 23; 47; 45; 25; 12; 46; 0][0; 21; 20; 30; 17; 2; 16; 1; 6; 0][0; 51; 0]],[2716.490886; 2595.885670; 2541.770712; 2537.970048; 2516.497668; 2516.497668; 2516.497668; 2509.364578; 2478.970399; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2444.737737; 2440.921957]
berlin52,7,25000,36,0.8,0,11.141,0.00041,2440.921957,15601.60395,460.48722,[[0; 21; 17; 30; 2; 16; 20; 41; 1; 0][0; 35; 37; 14; 5; 4; 23; 3; 11; 10; 50; 0][0; 48; 39; 38; 36; 47; 24; 27; 26; 46; 0][0; 34; 33; 45; 25; 12; 13; 0][0; 31; 44; 18; 40; 7; 8; 9; 42; 32; 0][0; 51; 0][0; 43; 15; 49; 19; 22; 29; 28; 6; 0]],[2706.656102; 2584.160029; 2541.474827; 2479.006420; 2479.006420; 2479.006420; 2479.006420; 2479.006420; 2479.006420; 2463.892447; 2463.892447; 2463.892447; 2463.892447; 2463.892447; 2463.892447; 2463.892447; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2447.250598; 2440.921957]
berlin52,7,25000,33,0.8,0,9.952,0.00041,2440.921957,15074.10119,807.953619,[[0; 48; 43; 45; 12; 13; 0][0; 31; 44; 18; 40; 7; 8; 9; 42; 32; 0][0; 51; 0][0; 34; 33; 36; 47; 23; 3; 11; 50; 10; 0][0; 17; 2; 15; 49; 19; 22; 29; 0][0; 21; 30; 20; 16; 6; 1; 41; 28; 0][0; 35; 38; 39; 37; 4; 14; 5; 24; 27; 26; 25; 46; 0]],[2612.699140; 2567.656001; 2532.405072; 2487.000546; 2487.000546; 2487.000546; 2487.000546; 2487.000546; 2474.118474; 2473.666627; 2473.666627; 2473.666627; 2473.666627; 2473.666627; 2473.666627; 2473.666627; 2460.803203; 2460.803203; 2460.803203; 2460.803203; 2460.803203; 2460.803203; 2460.803203; 2450.229766; 2450.229766; 2450.229766; 2450.229766; 2450.229766; 2450.229766; 2450.229766; 2450.229766; 2450.229766; 2440.921957]
berlin52,7,25000,30,0.8,0,9.145,0.00041,2440.921957,15391.04423,703.520773,[[0; 21; 17; 2; 16; 20; 30; 22; 28; 0][0; 31; 44; 40; 7; 8; 9; 32; 0][0; 35; 38; 39; 37; 23; 4; 5; 10; 50; 42; 0][0; 34; 33; 43; 15; 49; 19; 29; 1; 6; 41; 18; 0][0; 48; 36; 47; 14; 24; 27; 26; 12; 13; 0][0; 45; 46; 25; 11; 3; 0][0; 51; 0]],[2692.428761; 2513.658155; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2472.639315; 2440.921957]
berlin52,7,25000,53,0.8,0,16.092,0.00041,2440.921957,15099.14507,676.596508,[[0; 48; 38; 37; 14; 3; 27; 25; 46; 0][0; 43; 45; 15; 49; 19; 29; 22; 20; 28; 0][0; 21; 30; 17; 2; 16; 1; 6; 41; 0][0; 33; 36; 23; 47; 50; 10; 11; 0][0; 35; 34; 39; 4; 5; 24; 26; 12; 13; 0][0; 31; 44; 18; 7; 40; 8; 9; 42; 32; 0][0; 51; 0]],[2683.936613; 2538.151569; 2538.151569; 2538.151569; 2471.932526; 2471.932526; 2471.932526; 2471.932526; 2471.932526; 2471.932526; 2471.932526; 2471.932526; 2471.932526; 2471.932526; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2448.176530; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2445.701202; 2444.768601; 2444.768601; 2444.768601; 2440.921957]
