dataset_name,num_salesmen,pop_size,num_gens,pcross,pm,time_measurement,best_fitness,best_f,best_total_cost,best_amplitude,best_x,f_evolution
eli51,5,100000,141,0.8,0.041,53.733,0.00833,120.054487,588.225309,7.272617,[[0; 1; 15; 49; 8; 29; 38; 32; 9; 48; 0][0; 21; 30; 27; 2; 35; 34; 19; 28; 20; 33; 0][0; 31; 10; 37; 4; 36; 14; 44; 43; 41; 16; 11; 45; 50; 0][0; 7; 25; 6; 22; 42; 23; 24; 13; 5; 47; 26; 0][0; 46; 3; 18; 39; 40; 12; 17; 0]],[294.943101; 214.491058; 201.161914; 180.732850; 166.198195; 151.369875; 149.389298; 144.953470; 139.776995; 139.776995; 136.152098; 133.460652; 133.460652; 131.908440; 130.978324; 129.864887; 126.863880; 126.863880; 126.863880; 123.977645; 123.977645; 123.977645; 123.556059; 122.311181; 122.311181; 121.420582; 121.420582; 121.420582; 120.558562; 120.558562; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487]
eli51,5,100000,137,0.8,0.029,53.045,0.008342,119.877933,590.73727,5.383112,[[0; 21; 1; 20; 28; 19; 34; 35; 2; 27; 30; 25; 7; 0][0; 15; 49; 8; 33; 29; 38; 32; 9; 48; 37; 10; 31; 0][0; 26; 5; 17; 13; 24; 23; 42; 6; 22; 47; 0][0; 45; 11; 46; 16; 41; 43; 44; 14; 36; 4; 0][0; 12; 40; 39; 18; 3; 50; 0]],[294.516154; 232.352050; 200.142606; 182.359071; 170.948670; 161.602188; 150.212271; 145.687759; 139.968942; 134.749267; 134.749267; 131.962360; 129.827924; 129.151622; 127.644020; 126.712812; 124.216268; 123.636985; 120.382567; 120.057104; 120.057104; 120.057104; 120.057104; 120.017524; 120.017524; 120.017524; 120.017524; 120.017524; 120.017524; 120.017524; 120.017524; 120.017524; 120.017524; 120.017524; 120.017524; 119.984879; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933; 119.877933]
eli51,5,100000,120,0.8,0.017,47.075,0.008337,119.948619,594.734558,2.322825,[[0; 10; 37; 4; 48; 9; 32; 38; 29; 33; 8; 0][0; 21; 30; 27; 2; 35; 34; 19; 28; 20; 49; 15; 1; 31; 0][0; 26; 5; 13; 24; 23; 42; 6; 22; 47; 25; 7; 0][0; 45; 11; 16; 36; 14; 44; 43; 41; 3; 46; 50; 0][0; 17; 12; 40; 39; 18; 0]],[295.445727; 228.571751; 175.250967; 171.487083; 166.941778; 150.498905; 143.483683; 142.279981; 135.784072; 133.695124; 131.568503; 129.867505; 126.155637; 125.060403; 125.060403; 123.708827; 123.527218; 122.752950; 120.826077; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619]
eli51,5,100000,128,0.8,0.005,50.398,0.008337,119.948619,594.610635,3.893768,[[0; 45; 11; 16; 36; 14; 44; 43; 41; 3; 46; 50; 26; 0][0; 47; 7; 25; 6; 22; 42; 23; 24; 13; 5; 0][0; 17; 12; 40; 39; 18; 0][0; 31; 10; 37; 4; 48; 9; 32; 38; 29; 33; 15; 1; 0][0; 21; 30; 27; 2; 35; 34; 19; 28; 20; 49; 8; 0]],[301.558443; 226.403660; 198.058120; 173.441682; 156.801549; 156.686354; 148.065457; 134.775941; 132.524531; 132.524531; 131.516974; 131.516974; 128.709560; 127.969483; 126.762045; 126.762045; 125.092011; 124.417369; 124.417369; 123.794150; 123.794150; 123.530295; 123.518142; 122.439947; 122.439947; 122.351940; 120.871150; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619]
eli51,5,100000,152,0.8,0.003005,57.017,0.008461,118.183127,586.658372,2.367244,[[0; 2; 35; 34; 19; 28; 20; 33; 29; 8; 49; 15; 1; 0][0; 5; 13; 24; 12; 41; 43; 16; 0][0; 31; 10; 37; 4; 48; 9; 38; 32; 44; 14; 36; 11; 0][0; 26; 17; 40; 39; 18; 3; 46; 45; 50; 0][0; 21; 27; 30; 25; 7; 47; 22; 23; 42; 6; 0]],[280.865248; 224.142171; 192.474562; 178.890377; 160.943476; 148.389170; 140.546983; 137.616523; 136.567846; 128.590546; 128.590546; 127.949444; 127.192468; 124.421896; 124.421896; 124.421896; 124.254213; 122.392502; 121.841213; 121.841213; 121.841213; 121.649138; 121.649138; 121.546196; 121.546196; 121.546196; 121.348539; 121.348539; 121.348539; 121.348539; 121.211834; 121.013619; 121.013619; 120.976037; 118.957087; 118.957087; 118.957087; 118.957087; 118.639240; 118.416413; 118.332635; 118.332635; 118.332635; 118.332635; 118.332635; 118.332635; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127]
eli51,5,100000,122,0.8,0.003005,47.315,0.00833,120.054487,585.411442,6.462644,[[0; 21; 30; 27; 2; 35; 34; 19; 1; 28; 20; 0][0; 47; 5; 13; 24; 23; 42; 22; 6; 25; 7; 0][0; 26; 50; 45; 11; 16; 41; 43; 44; 14; 36; 4; 0][0; 31; 10; 37; 48; 9; 32; 38; 29; 33; 49; 8; 15; 0][0; 17; 12; 40; 39; 18; 3; 46; 0]],[270.999888; 224.958485; 194.442330; 178.610180; 167.362561; 141.040753; 141.040753; 140.581994; 134.477006; 130.190350; 129.054106; 128.033512; 126.102959; 124.910212; 124.910212; 123.513709; 123.513709; 122.986540; 120.408995; 120.379949; 120.379949; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487; 120.054487]
eli51,5,100000,116,0.8,0.003005,46.342,0.007843,127.50443,609.891734,21.587698,[[0; 21; 30; 27; 19; 2; 35; 34; 28; 0][0; 47; 5; 17; 24; 13; 23; 42; 22; 6; 25; 7; 0][0; 26; 50; 45; 11; 46; 3; 16; 36; 43; 14; 44; 32; 4; 37; 10; 31; 0][0; 1; 15; 20; 33; 49; 8; 48; 29; 38; 9; 0][0; 12; 40; 39; 18; 41; 0]],[297.873953; 236.926307; 195.136901; 154.722642; 149.231502; 145.804884; 141.843232; 139.709307; 133.161748; 131.587652; 131.005887; 127.644020; 127.644020; 127.644020; 127.644020; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430; 127.504430]
eli51,5,100000,137,0.8,0.000005,51.278,0.008465,118.133753,588.009885,2.298771,[[0; 21; 2; 27; 30; 7; 25; 6; 42; 23; 22; 47; 0][0; 31; 10; 37; 4; 48; 9; 38; 32; 44; 14; 36; 11; 45; 0][0; 5; 13; 24; 12; 41; 43; 16; 0][0; 26; 50; 46; 3; 18; 39; 40; 17; 0][0; 1; 15; 49; 8; 29; 33; 20; 28; 19; 34; 35; 0]],[291.314219; 228.153421; 201.113018; 166.553272; 154.225457; 148.589437; 138.183998; 133.269640; 133.183069; 133.102726; 131.696574; 127.877671; 126.364678; 126.364678; 126.364678; 124.204566; 124.202023; 123.551056; 123.551056; 122.467488; 122.467488; 122.467488; 121.734029; 120.791904; 120.741234; 120.727977; 120.187303; 118.995247; 118.697188; 118.508387; 118.416413; 118.319839; 118.183127; 118.183127; 118.183127; 118.183127; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753]
eli51,5,100000,126,0.8,0.000005,47.361,0.008337,119.948619,590.724893,7.187884,[[0; 47; 7; 25; 6; 22; 42; 23; 24; 13; 5; 26; 0][0; 10; 37; 4; 48; 9; 32; 38; 29; 33; 8; 0][0; 1; 15; 49; 20; 28; 19; 34; 35; 2; 27; 30; 21; 0][0; 31; 45; 11; 16; 36; 14; 44; 43; 41; 3; 46; 50; 0][0; 17; 12; 40; 39; 18; 0]],[297.908426; 228.243835; 191.645429; 181.371957; 170.238522; 153.372661; 142.779620; 137.962415; 136.004564; 132.395312; 129.098223; 127.969483; 123.760696; 123.760696; 122.327623; 120.768499; 120.768499; 120.310341; 120.310341; 120.310341; 120.274082; 120.274082; 120.274082; 119.984879; 119.984879; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619; 119.948619]
eli51,5,100000,141,0.8,0.003005,52.203,0.008465,118.133753,577.920373,11.692887,[[0; 26; 5; 17; 40; 39; 18; 3; 46; 50; 0][0; 31; 10; 37; 4; 48; 9; 38; 32; 44; 14; 36; 0][0; 2; 35; 34; 19; 28; 20; 33; 29; 8; 49; 15; 1; 0][0; 21; 27; 30; 7; 25; 6; 42; 23; 22; 47; 0][0; 45; 11; 16; 43; 41; 12; 24; 13; 0]],[292.461322; 224.249115; 198.755256; 170.998461; 159.244443; 150.873497; 144.068465; 139.094582; 136.754489; 132.007719; 132.007719; 127.065938; 125.558645; 124.897800; 124.444290; 122.971177; 122.307281; 122.256462; 119.862398; 119.862398; 119.161340; 118.858105; 118.543247; 118.251377; 118.251377; 118.251377; 118.251377; 118.251377; 118.251377; 118.251377; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.183127; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753; 118.133753]
