dataset_name,num_salesmen,pop_size,num_gens,pcross,pm,time_measurement,best_fitness,best_f,best_total_cost,best_amplitude,best_x,f_evolution
rat99,2,500000,37,0.8,0.016,74.108,0.001502,665.990897,1331.755948,0.225846,[[0; 1; 2; 13; 14; 22; 23; 32; 33; 42; 41; 49; 48; 57; 58; 66; 67; 76; 78; 77; 68; 69; 70; 79; 80; 71; 62; 61; 60; 59; 50; 51; 52; 53; 44; 43; 35; 34; 26; 25; 24; 15; 16; 17; 8; 7; 6; 5; 4; 3; 0][0; 10; 11; 12; 21; 20; 29; 30; 31; 40; 39; 38; 47; 56; 55; 64; 65; 74; 75; 83; 84; 85; 86; 87; 88; 89; 98; 97; 96; 95; 94; 93; 92; 91; 90; 82; 81; 72; 73; 63; 54; 45; 46; 37; 28; 36; 27; 18; 19; 9; 0]],[3286.055147; 2430.841574; 1803.456202; 1191.810438; 1036.544225; 937.461949; 857.398790; 823.556041; 771.622768; 737.307758; 720.702096; 708.195768; 701.124228; 691.060750; 691.060750; 685.517605; 683.862702; 682.489907; 680.303249; 678.252567; 676.879438; 670.367835; 670.367835; 670.367835; 670.367835; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897]
rat99,2,500000,50,0.8,0.01,114.142,0.001474,678.325841,1352.960397,3.691285,[[0; 10; 11; 12; 21; 20; 29; 30; 31; 40; 49; 48; 59; 58; 57; 56; 55; 64; 65; 66; 67; 77; 76; 75; 83; 84; 85; 94; 93; 92; 91; 90; 82; 81; 72; 74; 73; 63; 54; 45; 46; 47; 39; 38; 37; 28; 36; 27; 18; 19; 9; 0][0; 1; 2; 13; 14; 22; 23; 32; 33; 42; 41; 50; 51; 52; 61; 60; 68; 69; 70; 79; 78; 87; 86; 95; 96; 97; 98; 89; 88; 80; 71; 62; 53; 44; 43; 35; 34; 26; 25; 24; 15; 16; 17; 8; 7; 6; 5; 4; 3; 0]],[3286.055147; 2471.833334; 1821.127894; 1300.412370; 1104.004937; 957.271471; 859.915226; 781.135814; 752.376439; 733.120584; 705.164563; 705.164563; 694.994995; 692.419899; 689.508924; 681.051859; 679.698635; 679.698635; 679.237341; 679.237341; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841; 678.325841]
rat99,2,500000,46,0.8,0.008,103.369,0.001502,665.990897,1331.822317,0.159477,[[0; 1; 2; 13; 14; 22; 23; 32; 33; 42; 41; 49; 48; 57; 58; 66; 67; 76; 77; 78; 68; 69; 70; 79; 80; 71; 62; 61; 60; 59; 50; 51; 52; 53; 44; 43; 35; 34; 26; 25; 24; 15; 16; 17; 8; 7; 6; 5; 4; 3; 0][0; 9; 19; 18; 27; 36; 28; 37; 46; 45; 54; 63; 73; 72; 81; 82; 90; 91; 92; 93; 94; 95; 96; 97; 98; 89; 88; 87; 86; 85; 84; 83; 75; 74; 65; 64; 55; 56; 47; 38; 39; 40; 31; 30; 29; 20; 21; 12; 11; 10; 0]],[3310.896376; 2428.288570; 1733.624950; 1289.923256; 1121.467019; 928.756779; 842.844798; 793.073829; 765.248195; 749.476814; 732.074614; 720.061823; 701.309194; 700.462561; 691.923800; 688.707314; 672.667606; 670.367835; 670.367835; 669.169758; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897]
rat99,2,500000,56,0.8,0.01,121.936,0.001476,677.429746,1353.55515,4.357243,[[0; 19; 29; 28; 39; 38; 47; 56; 55; 64; 65; 74; 83; 84; 75; 76; 77; 78; 87; 88; 89; 98; 97; 96; 95; 86; 85; 94; 93; 92; 91; 90; 82; 81; 72; 73; 63; 54; 45; 46; 37; 36; 27; 18; 9; 0][0; 2; 3; 13; 4; 5; 6; 7; 8; 17; 16; 15; 14; 22; 23; 24; 25; 26; 34; 35; 43; 44; 53; 52; 51; 50; 59; 60; 61; 62; 71; 80; 79; 70; 69; 68; 67; 66; 58; 57; 48; 49; 40; 41; 42; 33; 32; 31; 30; 20; 21; 12; 11; 10; 1; 0]],[3434.649963; 2479.452224; 1837.218827; 1290.367714; 1099.949795; 943.026431; 835.098086; 813.388538; 765.473761; 734.807754; 720.584182; 702.991327; 698.177280; 690.323276; 681.756617; 679.421557; 679.055929; 679.055929; 679.055929; 678.956196; 678.956196; 678.956196; 678.956196; 678.956196; 678.956196; 678.956196; 678.956196; 678.956196; 678.956196; 678.956196; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746; 677.429746]
rat99,2,500000,82,0.8,0.00005,190.35,0.001502,665.990897,1331.755948,0.225846,[[0; 10; 11; 12; 21; 20; 29; 30; 31; 40; 39; 38; 47; 56; 55; 64; 65; 74; 75; 83; 84; 85; 86; 87; 88; 89; 98; 97; 96; 95; 94; 93; 92; 91; 90; 82; 81; 72; 73; 63; 54; 45; 46; 37; 28; 36; 27; 18; 19; 9; 0][0; 1; 2; 13; 14; 22; 23; 32; 33; 42; 41; 49; 48; 57; 58; 66; 67; 76; 78; 77; 68; 69; 70; 79; 80; 71; 62; 61; 60; 59; 50; 51; 52; 53; 44; 43; 35; 34; 26; 25; 24; 15; 16; 17; 8; 7; 6; 5; 4; 3; 0]],[3443.823452; 2421.383036; 1794.114238; 1251.864643; 1120.537892; 933.270349; 848.017558; 793.263807; 748.328639; 735.741100; 714.530196; 704.552737; 699.333992; 687.295572; 686.254738; 684.634082; 680.486039; 678.789750; 677.542083; 676.879438; 676.068818; 676.068818; 676.068818; 676.068818; 676.068818; 676.068818; 676.068818; 676.068818; 673.076817; 673.076817; 672.180822; 672.180822; 669.826876; 669.826876; 669.471840; 669.324758; 669.324758; 669.324758; 669.324758; 669.324758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897]
rat99,2,500000,52,0.8,0.01,114.785,0.001502,665.990897,1331.755948,0.225846,[[0; 1; 2; 13; 14; 22; 23; 32; 33; 42; 41; 49; 48; 57; 58; 66; 67; 76; 78; 77; 68; 69; 70; 79; 80; 71; 62; 61; 60; 59; 50; 51; 52; 53; 44; 43; 35; 34; 26; 25; 24; 15; 16; 17; 8; 7; 6; 5; 4; 3; 0][0; 10; 11; 12; 21; 20; 29; 30; 31; 40; 39; 38; 47; 56; 55; 64; 65; 74; 75; 83; 84; 85; 86; 87; 88; 89; 98; 97; 96; 95; 94; 93; 92; 91; 90; 82; 81; 72; 73; 63; 54; 45; 46; 37; 28; 36; 27; 18; 19; 9; 0]],[3427.902322; 2337.688872; 1805.082685; 1386.425661; 1082.775128; 955.961408; 871.096005; 808.993709; 767.268660; 757.152009; 727.317624; 712.127470; 700.421302; 688.590938; 684.939333; 680.140124; 679.687433; 670.367835; 670.367835; 670.367835; 670.367835; 669.121436; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897]
rat99,2,500000,59,0.8,0.00405,119.077,0.001471,679.615675,1356.06475,3.1666,[[0; 1; 2; 13; 14; 22; 23; 32; 33; 42; 41; 50; 51; 52; 61; 60; 69; 70; 79; 78; 87; 86; 85; 94; 95; 96; 97; 98; 89; 88; 80; 71; 62; 53; 44; 43; 35; 34; 26; 25; 24; 15; 16; 17; 8; 7; 6; 5; 4; 3; 0][0; 10; 11; 12; 21; 20; 29; 30; 31; 40; 49; 59; 48; 57; 58; 66; 67; 68; 77; 76; 75; 84; 83; 93; 92; 91; 90; 82; 81; 72; 73; 74; 65; 64; 63; 55; 56; 54; 45; 46; 47; 39; 38; 37; 28; 36; 27; 18; 19; 9; 0]],[3286.055147; 2476.385909; 1790.222133; 1295.411148; 1100.710565; 952.551965; 796.367747; 796.367747; 756.824607; 747.013100; 724.315372; 715.208826; 703.652017; 694.466834; 686.409899; 682.829174; 679.698635; 679.698635; 679.698635; 679.698635; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675; 679.615675]
rat99,2,500000,43,0.8,0.0096,83.452,0.001502,665.990897,1331.755948,0.225846,[[0; 1; 2; 13; 14; 22; 23; 32; 33; 42; 41; 49; 48; 57; 58; 66; 67; 76; 78; 77; 68; 69; 70; 79; 80; 71; 62; 61; 60; 59; 50; 51; 52; 53; 44; 43; 35; 34; 26; 25; 24; 15; 16; 17; 8; 7; 6; 5; 4; 3; 0][0; 10; 11; 12; 21; 20; 29; 30; 31; 40; 39; 38; 47; 56; 55; 64; 65; 74; 75; 83; 84; 85; 86; 87; 88; 89; 98; 97; 96; 95; 94; 93; 92; 91; 90; 82; 81; 72; 73; 63; 54; 45; 46; 37; 28; 36; 27; 18; 19; 9; 0]],[3286.055147; 2417.352688; 1810.522675; 1289.232954; 1075.357138; 928.644938; 833.738161; 786.771939; 763.016296; 728.888763; 714.209535; 699.724184; 687.910082; 684.065891; 680.984108; 675.556064; 670.367835; 669.324758; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897]
rat99,2,500000,48,0.8,0.009,91.247,0.001484,674.055138,1346.768618,1.341658,[[0; 2; 11; 12; 21; 20; 32; 33; 42; 41; 49; 48; 57; 58; 66; 67; 76; 77; 68; 69; 70; 79; 80; 71; 62; 61; 60; 59; 50; 51; 52; 53; 44; 43; 35; 34; 26; 25; 24; 23; 22; 14; 15; 16; 17; 8; 7; 6; 5; 4; 13; 3; 0][0; 9; 18; 27; 36; 28; 37; 46; 45; 54; 63; 73; 72; 81; 82; 90; 91; 92; 93; 94; 95; 96; 97; 98; 89; 88; 78; 87; 86; 85; 84; 83; 75; 74; 65; 64; 55; 56; 47; 38; 39; 40; 31; 30; 29; 19; 10; 1; 0]],[3286.055147; 2353.801907; 1827.929550; 1300.620432; 1131.049209; 884.698157; 808.632753; 786.059108; 761.211513; 738.966011; 719.502718; 705.713108; 694.483566; 690.014650; 684.210513; 680.319978; 679.326108; 677.429746; 676.918749; 676.658980; 676.658980; 676.658980; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138; 674.055138]
rat99,2,500000,67,0.8,0.006,135.47,0.001502,665.990897,1331.755948,0.225846,[[0; 1; 2; 13; 14; 22; 23; 32; 33; 42; 41; 49; 48; 57; 58; 66; 67; 76; 78; 77; 68; 69; 70; 79; 80; 71; 62; 61; 60; 59; 50; 51; 52; 53; 44; 43; 35; 34; 26; 25; 24; 15; 16; 17; 8; 7; 6; 5; 4; 3; 0][0; 10; 11; 12; 21; 20; 29; 30; 31; 40; 39; 38; 47; 56; 55; 64; 65; 74; 75; 83; 84; 85; 86; 87; 88; 89; 98; 97; 96; 95; 94; 93; 92; 91; 90; 82; 81; 72; 73; 63; 54; 45; 46; 37; 28; 36; 27; 18; 19; 9; 0]],[3390.373149; 2375.756036; 1706.956254; 1367.529835; 1038.641639; 919.889973; 827.691351; 776.838790; 770.000774; 725.392888; 720.568900; 705.065930; 696.602225; 688.875720; 684.356941; 680.890233; 678.990355; 673.557914; 672.180822; 670.367835; 670.367835; 669.324758; 669.324758; 669.324758; 669.324758; 669.324758; 669.324758; 669.324758; 669.324758; 669.324758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 669.169758; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897; 665.990897]
